time,day_temperature_C,day_humidity_percent,dayofweek_sin,dayofweek_cos,dayofmonth_sin,dayofmonth_cos,dayofyear_sin,dayofyear_cos,complaint_count
2023-06-11,36.4,37,-0.7818314824680299,0.6234898018587334,0.7907757369376989,-0.6121059825476626,0.3456123126707335,-0.9383773917408641,19.0
2023-06-12,36.7,33,0.0,1.0,0.6513724827222223,-0.758758122692791,0.3294084822245304,-0.9441875088341993,44.0
2023-06-13,36.2,38,0.7818314824680298,0.6234898018587336,0.48530196253108104,-0.8743466161445821,0.3131070409358269,-0.9497178427914316,40.0
2023-06-14,34.9,44,0.9749279121818236,-0.22252093395631434,0.29936312297335804,-0.9541392564000488,0.29671281927349075,-0.9549667548552551,50.0
2023-06-15,35.8,42,0.43388373911755823,-0.900968867902419,0.10116832198743272,-0.994869323391895,0.28023067519921585,-0.9599326896597447,52.0
2023-06-16,37.1,35,-0.433883739117558,-0.9009688679024191,-0.10116832198743204,-0.9948693233918952,0.26366549272800704,-0.9646141756912435,8.0
2023-06-17,37.6,33,-0.9749279121818236,-0.2225209339563146,-0.2993631229733582,-0.9541392564000488,0.24702218048093552,-0.9690098257244062,27.0
2023-06-18,37.7,35,-0.7818314824680299,0.6234898018587334,-0.4853019625310808,-0.8743466161445822,0.23030567023061221,-0.9731183372332619,39.0
2023-06-19,36.1,41,0.0,1.0,-0.651372482722222,-0.7587581226927911,0.21352091543979612,-0.9769384927771817,44.0
2023-06-20,34.4,50,0.7818314824680298,0.6234898018587336,-0.7907757369376986,-0.6121059825476627,0.19667288979357647,-0.980469160361632,40.0
2023-06-21,32.7,59,0.9749279121818236,-0.22252093395631434,-0.8978045395707417,-0.44039415155763423,0.1797665857255624,-0.9837092937736097,34.0
2023-06-22,30.2,76,0.43388373911755823,-0.900968867902419,-0.9680771188662041,-0.2506525322587213,0.16280701293851715,-0.986657932891657,24.0
2023-06-23,28.1,84,-0.433883739117558,-0.9009688679024191,-0.9987165071710528,-0.05064916883871355,0.1457991969198751,-0.9893142039703663,32.0
2023-06-24,27.4,88,-0.9749279121818236,-0.2225209339563146,-0.9884683243281114,0.15142777750457667,0.12874817745258132,-0.99167731989929,67.0
2023-06-25,26.2,93,-0.7818314824680299,0.6234898018587334,-0.9377521321470804,0.3473052528448203,0.11165900712169512,-0.993746580436178,51.0
2023-06-26,26.2,91,0.0,1.0,-0.8486442574947509,0.5289640103269624,0.09453674981719912,-0.9955213724144752,46.0
2023-06-27,26.2,88,0.7818314824680298,0.6234898018587336,-0.72479278722912,0.6889669190756865,0.07738647923346301,-0.9970011699250151,21.0
2023-06-28,26.1,90,0.9749279121818236,-0.22252093395631434,-0.5712682150947924,0.8207634412072763,0.06021327736579302,-0.9981855344718586,16.0
2023-06-29,28.0,83,0.43388373911755823,-0.900968867902419,-0.3943558551133187,0.9189578116202306,0.04302223300453059,-0.99907411510223,16.0
2023-06-30,29.2,79,-0.433883739117558,-0.9009688679024191,-0.20129852008866114,0.9795299412524943,0.02581844022713308,-0.9996666485105112,20.0
2023-07-01,29.9,76,-0.9749279121818236,-0.2225209339563146,0.20129852008866006,0.9795299412524945,0.008606996888688698,-0.9999629591162655,26.0
2023-07-02,30.5,74,-0.7818314824680299,0.6234898018587334,0.39435585511331855,0.9189578116202306,-0.008606996888688009,-0.9999629591162655,20.0
2023-07-03,30.8,72,0.0,1.0,0.5712682150947923,0.8207634412072763,-0.02581844022713239,-0.9996666485105112,31.0
